17	Цифровая техника Видеомагнитофоны Студийный видеомагнитофон Компактный видеомагнитофон Накамерный видеомагнитофон Лэптоп Специальные Домашние кинотеатры DVD проигрыватель Компьютер с DVD проигрывателем Ноутбук с DVD проигрывателем Игровые консоли Наушники Проводные Внутриканальные Вставные Смешанные поворотные Полноразмерные наушники Мониторные Односторонние Типы соединительных разъемов DIN USB USB4 Wireless USB Apple Lightning Беспроводные Телевизоры Кинескопные Типы подсветки экрана Люминесцентная LED LED телевизоры Плазменные телевизоры Micro LED телевизоры Проекционный телевизор Лазерный HDTV Фотоаппараты Цифровые фотоаппараты Цифровой зеркальный фотоаппарат Беззеркальный фотоаппарат Дальномерный фотоаппарат Псевдозеркальный фотоаппарат Компактные фотоаппараты Модульные фотоаппараты Камерофон Фотоловушка Пленоптическая камера Видеокамеры По категориям По разрешению SD HD UltraHD По формату носителя данных Цифровые видеокамеры с аналоговыми носителями Аналоговая видеокамера Цифровые видеокамеры с цифровыми носителями DVD Жесткий диск SSD MiniDV XDCAM По формату записи данных DV AVCHD По количеству матриц Трехматричная Диктофоны Компьютеры По назначению Настольный ПК Рабочая станция ПК Домашний ПК Моноблок Plug PC Игровой ПК Медиацентр Бесшумный ПК Нетбук Планшет Планшетный нетбук Неттоп Консольный компьютер Суперкомпьютер Персональный суперкомпьютер Мейнфрейм Малые и мобильные КПК Ноутбук Субноутбук Ультрабук Смартбук Планшетный ПК Электронная книга Калькулятор	35	1
18	Дектерев Влад - Цифровая техника	35	0
19	Кинематография Жанры Боевик Вестерн Байопик Приключенческий фильм Гангстерский фильм Фильм плаща и шпаги Детектив Детектив закрытого типа Психологический детектив Исторический детектив Иронический детектив Шпионский детектив Криминальный детектив Драма Криминальная драма Психологическая драма Социальная драма Кинокомедия Пародия Мелодрама Семейный фильм Музыкальный фильм Триллер Мистический триллер Психологический триллер Ужасы Фантастика Фэнтези Артхаус Киноэпопея Исторический фильм Интеллектуальное кино Водевиль Для детей Аниме Развивающие Мультсериал Кукольный Документальное кино Поэтическая документалистика Разъясняющая документалистика Участвующая документалистика Наблюдательная документалистика Рефлексивная документалистика Перформативная документалистика Аудиовизуальный ряд Звук Немое кино Звуковое кино Изображение Цветное кино Мультипликация Анимационные фильмы Фильмы в стихах Другое Видеофильм Телефильм Диафильм Микрофильм Мультипликационный фильм Полнометражный фильм Короткометражный фильм	32	1
20	Кинематография 	32	0
21	Обувь Мужская Ботинки Высокие ботинки Дезерты Низкие ботинки Тимберленды Трекинговые ботинки Челси Кроссовки и кеды Мокасины и топсайдеры Сандалии Сапоги Дутики Луноходы Сапоги Угги и унты Слипоны Туфли Дерби Лоферы Монки Оксфорды Эспандрильи Женская Балетки Балетки с круглым носом Балетки с острым носом Балетки с открытым носом Босоножки Ботильоны Высокие ботильоны Низкие ботильоны Ботильоны с квадратным носом Ботильоны с круглым носом Ботильоны с острым носом Ботильоны с открытым носом Ботинки Высокие ботинки Низкие ботинки Оксфорды Тимберленды Трекинговые ботинки Челси Казаки Кроссовки и кеды Кроссовки Кеды Мокасины и топсайдеры Сабо и мюли Сандалии Сапоги Ботфорты Валенки Дутики Луноходы Полусапоги Сапоги Угги и унты Слипоны Высокие слипоны Низкие слипоны Туфли Закрытые туфли Лодочки Лоферы Туфли с открытой стопой Туфли с открытой пяткой Эспадрильи	28	1
22	Обувь	28	0
23	Одежда и обувь Пункт 1 Пункт 2	21	1
24	Одежда и обувь	21	0
25	Кондитерские изделия Группа сахаристые New node New node New node New node Группа мучные New node	41	1
26	Кондитерские изделия	41	0
27	Изобразительное искусство Красящие материалы Акварель Акварель в кюветах Акварель в тубах Жидкая акварель Акриловые краски Матовые Глянцевые Флуоресцентные Перламутровые Металлики Масляные краски Уголь Гуашь Художественная Плакатная Акриловая Детская Карандаши Простые Цветные Угольные Пастельные Акварельные Темпера Сангина Сепия Тушь Жидкая Водорастворимая Водостойкая Жидкая акриловая Сухая китайская Пастель Сухая Твердая Мягкая Масляная Восковая Маркеры художественные спиртовые Маркеры художественные акварельные Маркеры для меловых досок Маркеры для промышленной графики Маркеры для флипчартов Маркеры перманентные Маркеры по керамике Маркеры по коже Маркеры по ткани Инструменты и прочие вспомогательные материалы Мольберт Палитра Шпатели Лак Кисти Плоские Круглые Овальные Контурные Флейцевые Отводные и ретушные Шрифтовые и линейные Веерные Для двойного мазка Холсты Из хлопка Из льна Из синтетики Суровые Пеньковые Джутовые Бумага Акварельная Пастельная Для черчения Оберточная или крафт бумага Тисненая Ластик Клячка Абстракционизм Авангардизм Академизм Ампир Анималистика Аппликация Анахронизм Андерграунд Ар нуво Арт Деко Барокко Бидермейер Батальный жанр Бытовой жанр Ванитас Ведута Веризм Возрождение или Ренессанс Гиперреализм Готика Графика Дадаизм Импрессионизм Караваджизм Классицизм Кубизм Минимализм Модерн Натюрморт Портрет Реализм Рококо Романтизм Сентиментализм Символизм	23	1
28	Изобразительное искусство	23	0
29	Антропоним Личное имя Прозвище Псевдонимы Фамилия Эпоним Зооним Мифонимы Демонимы Теонимы пантеон 1 пантеон 2 Именования неодушевленных предметов Собственные имена простых объектов Астронимы Астероиды Звезды Кометы Планеты Космонимы Галактики Звездные скопления Созвездия Туманности Аэронаутонимы Космические корабли Самолеты Корабонимы Железнодорожные экспрессы Топонимы Естественные и искусственные природные географические объекты Территория Дримонимы Инсулонимы Оронимы Спелеонимы Фитонимы Акватория Гелонимы Лимнонимы Пелагонимы Потамонимы Океанонимы Спелеогидронимы Агроонимы Дромонимы Кратонимы Некронимы Ойконимы Агоронимы Годонимы Хоронимы Хрематонимы Доспехи Драгоценности Музыкальные инструменты Оружие Огнестрельное Холодное Посуда Собственные имена комплексных объектов Библионимы Хрононимы Названия произведений литературы и искусства Документонимы Физионимы Фалеронимы Этнонимы Макроэтнонимы Эндоэтнонимы Этниконы Номены Товарные знаки Названия зданий и интерьеров	13	1
30	Имена собственные рус. 	13	0
31	New node New node New node New node New node hhh tst Пункт 1 Пункт 2 test New node New node New node New node New node New node New node New node New node New node New node New node New node New node New node New node	12	1
32	ОКВЭД	12	0
33	Косметика Декоративная косметика Тон лица Тональные крема Праймер Консилер Румяна Хайлайтер Бронзер Пудра Скульптор Фиксатор Для глаз и бровей Тени Подводка Карандаш Тушь для ресниц База для теней Карандаш для бровей Помада для бровей Тени для бровей Тинт для бровей Фиксирующий гель Для губ Помада Матовая помада Атласная помада Перламутровая помада Блеск для губ Карандаш для губ Тинт для губ Бальзам для губ Для ногтей Лак Средства для снятия лака Уходовая косметика Уход за кожей Уходовая косметика для лица Средства для очищения Гель Молочко Мицеллярная вода Пенка Гоммаж Тонер Скраб для лица Гидрофильное масло Средства для питания Питательный крем Масло Средство для увлажнения Эмульсии Увлажняющий крем Маски Тканевые маски Питательные маски Альгинатные маски Гелевые Сыворотки Уход за кожей глаз Патчи Крем для век Уходовая косметика для тела Скраб для тела Молочко для тела Лосьон для тела Масло для тела Крем для тела Крем для рук Уход за волосами Шампунь Сухой шампунь Лечебный шампунь Безсульфатный шампунь Для окрашенных Оттеночный шампунь Кондиционеры Бальзам Маска для волос Масло для волос Средства для укладки Лак для волос Пенка для волос Мусс для волос Гель для волос Воск для волос Крем для волос Термозащита Персональный уход Дезодоранты Мыло Гель для душа Средства ухода за полостью рта Зубные пасты Ополаскиватель для рта Освежители полости рта Зубной порошок	33	1
34	Косметика	33	0
35	Динозавры Аардоникс Абелизавр Абриктозавр Авацератопс Авимим Австраловенатор Агатаум Агухацератопс Агустиния Акрокантозавр Аламозавр Алетопельта Аллозавры Амаргазавр Ампелозавр Амурозавр Анимантаркс Анкилозавр Апатозавр Археоцератопс Афровенатор Ахелоузавр Аэростеон Багацератопс Бэмбираптор Брахитрахелопан Велоцираптор Гадрозавр Гастония Гиганотозавр Гигантораптор Гуаньлун Дасплетозавр Дельтадромеус Диплодок Пахицефалозавр Дриптозавр Дюбрейлозавр Эпидексиптерикс Жираффатитан Заурофаганакс Зухомим Изизавр Карнотавр Криптопс Клаозавр Лептоцератопс Майюнгазавр Мапузавр Мегалозавр Нанотираннус Номингия Нотроних Орнитолестес Паразауролофы Пентацератопс Пиветозавр Пирораптор Преноцератопс Ругопс Сегнозавр Скутеллозавр Стегозавры Тарбозавр Тираннозавр Торвозавр Трицератопс Уненлагия Уранозавр Фукуираптор Футалогнкозавр Хасмозавр Цератозавр Шантунгозавр Эдмонтония Эотираннус Юннанозавр Ютираннус Ямацератопс Янхуанозавр Шувуйя Цинтаозавр Центрозавры Унайзавр Целюр Олоротитан Кархародонтозавры Камаразавр Джобария Горгозавр Вулканодон Барионикс Бэйпяозавр Зупайзавр Ирритатор Игуанодон Лиеллиназавра Лилиенстерн Лурдузавр Мазиаказавр	36	1
36	Динозавры	36	0
37	Бытовая техника Крупная бытовая техника Холодильное оборудование Холодильник Типы холодильных агрегатов по принципу действия Компрессионный Абсорбционный Термоэлектрический С вихревыми охладителями Устройство холодильного шкафа Теплоизоляция Полки Дверь Уплотнитель двери Циркуляция воздуха в камерах Кулер Приборы для приготовления пищи Кухонная плита Разновидности Газовая плита Электрическая плита Микроволновая печь По типу конструкции По типу управления Стиральная машина Сушильная машина Сушильный шкаф Посудомоечная машина Кондиционер Водонагреватель Кухонная вытяжка Мелкая бытовая техника Соковыжималка Ручные Механические Электрические Миксер Стационарный миксер Миксер для молочных коктейлей Мясорубка Кофемолка Жерновая Электрическая Ручная Вафельница Кофеварка Капельная Капсульная Тостер Кухонный комбайн Моторный блок Рабочая чаша Насадки для кухонного комбайна Часы Песочные часы Ходики Электронные часы Радиочасы Атомные часы Фотоаппарат Крупноформатная камера Средний формат Малоформатная фотография Видеокамера Бытовые Профессиональные Специальные Игровая приставка Седьмое поколение Шестое поколение Пятое поколение Первое поколение Восьмое поколение New node Виды носителей данных Картриджи Карты Оптические носители Интернет New node New node Телефон Радиотелефон Мобильные телефоны Сотовый телефон Спутниковый телефон Полевой телефон Будильник Механический будильник Электронный будильник Телевизор Электрический прибор	37	1
38	Бытовая техника	37	0
39	Мебель Бытовая Для гостиной Диван Стационарные Прямые Угловые Модульные Островные Раскладные Стеллаж Архивные Офисные Торговые Брендовые Выставочные Складские Бытовые Кресло Оттоманка Геймерское кресло Стол Журнальный Интеркативный Подставка Приставной Тумба Для спальной комнаты Кровать Раскладушка Нары Тахта Подъемная Двухъярусная Шкаф Распашной Купе Бельевой Комод Закрытый комод Традиционный Для кухни Кухонный гарнитур Линейный Двухлинейный Островной Стул Деревянный Плетеный Деревянный Пластиковый Металлический Стол Прямоугольные Овальные или круглые Квадратные Для кабинета Шкаф Встроенный Модульный Корпусный Стол Компьютерный Письменный Рабочий Стул Классический Складной Для детской Модульная Корпусная Игровая Шкаф Прямой Угловой Радиусный Для общественных помещений Для больниц Операционный стол Общехирургический Гинекологиеский Урологический и проктологический Диван Выкатные Раздвижные Подъемные Поворотные Кушетка Физиотерапевтическая Массажная Смотровая Косметическая Для школьных учреждений Парта Обычная С ящичками Ортопедическая С откидным столиком Моноблок Стул Классический письменный Растущий Эргономичный Доска Настенная Напольная Передвижная Для учебных заведений Скамья Стационарные Мобильные Диван Винилискожа Экокожа Столешница Натуральная древесина Акрил Агломерат Барная стойка Классическая С гарнитуром Стул Табуреты Стандартные Полукресло Для залов ожиданий транспортных учреждений Кресло Каркасные Бескаркасные Стойка Прямоугольные Овальные Угловые Нестандартные Для библиотек и читальных залов Стеллаж Архивные Демонстрационные Книжные С открытой системой доступа Шкаф Для журналов Для газет Формулярные Каталожные Стол Читательские Компьютерные Многоместные	38	1
40	Мебель	38	0
41	Одежда верхняя одежда джемпер болеро жилет пончо ветровка куртка анорак плащ шуба пальто бомбер дождевик косуха мотоциклетная куртка куртка лесоруба дубленка бушлат норфолк телогрейка спортивная куртка флисовая куртка тренчкот дафлкот кейп честерфилд блейзер френч смокинг университетская куртка рубашки блузки воротник аскот жабо оксфорд реглан туника рубашка вестерн матроска воротник Медичи воротник с лацканами косой воротник стойка со скошенными концами брюки леггинсы лосины кюлоты слаксы авгани брюки бананы багги брюки дудочки палаццо брюки карго джинсы бермуды клеш капри галифе аксессуары головные уборы капюшон бандана бейсбольная кепка берет бини бретонская кепка пилотка плоская кепка тюрбан клош трильби федора хомбург цилиндр сомбреро панама кепи балаклава пояса узкий ремень широкий ремень плетеный пояс шаль палантин парео куфия бактус горжетка кашне сумки сумка почтальона рюкзак клатч галстуки носки перчатки платья платье с запахом сарафан платье смок платье футляр платье шифт платье шемиз кофты пуловер свитер джемпер водолазка пончо косуха толстовка пиджак кардиган лонгслив олимпийка худи бомбер боди регби тенниска жакет юбки макси миди мини микро ассиметричная длина юбка годе с запахом пачка килт карандаш обувь балетки сапоги сандалии тапочки ботфорты вьетнамки мокасины оксфорды ботинки	29	1
42	Одежда	29	0
43	test	12	2
44	Вид онима; любое собственное имя которое может иметь человек или группа людей в тч личное имя отчество фамилия прозвище всевдоним и др	13	2
45	Поле 1 ﻿Абрек Автобус Агата Киевская Азер Академик Ак-кулак Александр Невский Алеман Амбал Америкос Ами Анаксагор из Клазомен Анчутка Ара Арбуз Аристарх Самосский Артистка Асфальт Афрожопый Афророссиянин Байбак Баклан Балерун Балу Бамбук Бандит Баран Баранчик Барбос Бармалей Барон Басурман Батон Белка Белобрысый Белый Береза Бес Биралюкасы Бирюк Блоха Бобер Бог Болга Болотный Болт Бомба Бомбермен Борец Борзой Боров Борода Босс Ботаник Боцман Бочар Боша Боши Бреховка Бригадир Бритый Букашка Булочка Бульбаш Бунёк Буновый Буратино Бурбур Бургомистр Бурла Буров Бусурка Бутуз Бухгалтер Быкей Бычара Бэби Бяшка Валячо Вермишель Вертун Веселый Весси Ветелка Вилок Винни-Пух Винтовка Витаминка Водила Выдвижная челюсть Выдвижной Гайдзин Ганс Гармонь Гвоздок Гекатей из Милета Гераклит Эфесский Гимнастка Гитлер Глазастик Глазастый Глазиха Глазок Гном Гнутый Гоблин Гой Гринго Голкипер Гонец Горбач Горгаз Горемыка Горшок Хорек Граф Грибок Гриндерс Гроза Грызя Губан Губастый Гудок Гулюшка Гуран Гургуфель Гусак Гусача Гусь Гюрза Дамьё Двадцатка Деляга Демагог Детина Децл Джин Джон Булль Джонни Ноксвилл Дикарь Длинный Дмитрий Донской Додон Доменико Венециано Доцент Драчун Дрын Дудуниха Дурила Дуркан Дух Дылда Дырка Дюймовочка дядя Степа Еврей Ежик Еле-еле Ерш Жаворонок Жан де Мен Жбан Жестянщик Жид Жирик Жирный Завхоз Зазнайка Зарядья Затворник Заяц Зверь Земляк Змей Зоб Золотой Зуб Зомби Зуб Зюзя Иваны Иголочка Иоанн Дамаскин Исидор Севильский Исихий Милетский Истукан Кабан Казак Калбит Камбала Кардинал Каркуша Карлсон Карманный Каспер Кафир Кафтанка Кацапы Кацо Кача Качок Квадрат Квадратная голова Квадратный череп Квашня Керогаз Киздым Киндер-сюрприз Киновщик Кинщик Киргизка Кирьян Кислое молоко Китаец Клементий Козел Козо Козявка Козявочка Кок Ко́кни Колатушка Колибри Колобок Колокольня Коломенская верста Колупыч Колхида Комель Коммунист Композитор Копченый Копчик Кореец Корова Королева Королиха Король Корявый Косая Косой Косолапый Косорукий Косяк Кот Котенок Кочкорукий Кошелек Кощей Красотка Крестный Крёх Криворукий Кролик Крот Крошка Крючок Ксенос Кудрявый Кузьма Кулек Культяпа Кулюха Кура Курат Куркуль Лабрит Лабусы Лабусятия Лаовай Лаомаоцзы Лапша Латинос Левый Легкач Ленин Леонардо да Винчи Леший Лиса Лисенок Лобан Лопари Лопух Лось Лохмач Лохмота Лошадь Пржевальского Лысиха Лягушатник Лягушка Лях Мадам Майор Макаронник Максим Грек Малик Малой Малыш Мальчик Малян Мамай Мамбет Марко д'Оджоно Масяня Матроскин Мачо Медный Мелкий Мельник Менипп Гадарский Мент Ментозавр Ментюк Мерин Мешок Мизгирь Милок Могильщик Мода Модистка Модный Мозгач Молекула Молчун Монгол Моргун Моргунка Морда Мороз Москали́ Московиты Моська Мощный Мудрый Мужик Музыкант Мультяшка Муравей Мутант Мырк Мыша Мышь Назари Налим Наполеон Наф-Наф Негазуй Негрей Некрофил Неплюй Нерусь Ниггер Низами Гянджеви Никколо Пизано Николай Кузанский Ниф-Ниф Нос Нудяк Нуф-Нуф Ободняй Овощеводка Овца Овчинник Огонек Одноглазая Одуванчик Окунек Орел Осси Отец Офицер Охламон Очко Пакис Пальма Паоло Веронезе Папа Паук Пахан Пегая Пельмень Пенек Перец Персил Петросян Петух Пиндосы Пират Пифагор Регийский Пифке Плюшик Плюшкин Повар Поддубный Полкан Полосатый Полтора Пончик Попугайчик Постепенный Приколка Прислужник Продавщица Прокуда Прокурор Прораб Просветитель Профессор Профессорша Птицелов Пудель Пузан Пузо Пузырек Пупок Пупс Пупсик Пухлик Пухлый Пушистик Пушкин Пчелка Пчеловод Пшеки Пышка Пьетро Перуджино Пятак Пятачок Пятитонка Размазня Раски Рашпиль Репей Робот Родинка Розенталь Рок Бразилец Ром Ромашка Ромео Ромовая баба Рохля Русак Русаки Рушпаны Рыжий Рюсся Рябой Сало Самоеды Сарты Сарыбас Сварной Свечка Свинья Седой Селедка Сельдюк Серафим Вырицкий Серый Симеон Полоцкий Синичка Синяк Скелет Скрипач Скрудж Сланец-Славец Слон Слоник Смеющийся Сморчок Собачник Сова Соплян Сталин Старичок Стопарик Страус Стрекоза Стригун Стриптизер Студент Стукач Сундук Супер Сухарь Сушка Таксист Танкист Таракан Тарзан Тархан Телепуз Телепузик Телок Тереза из Лизье Терминатор Тибла Тигр Тихоня Толстопузик Толстуха Толстый Тормозок Торпеда Троф Трус Трусок Туз Тунгусы Тундра Тушканчик Угрюмый Уж Узи Узкоглазые Уильям Оккам Укачко Уколыч Урядник Усач Ученый Ушак Ушан Ушастый Фантомас Фаранг Фасоль Февраль Феномен Ферзь Фиделька Филек Филиппок Фитиль Фифти-Фифти Фома Фома Аквинат Фома Аквинский Фрицы Фыря Хабиби Хач Хвост Хитрый Хлеб Хлебник Хомяк Хоттаб Хохлы Хромой Хромоножка Худой Цапля Цыган Цыплок Чабан Чалдоны Чаплашка Чаха Чебурашка Чек Челюсть Черенок Черножопые Чернома́зые Чёрные Чех Чибо Чиж Чинарь Чубайс Чугунок Чудак Чудик Чума Чупа-Чупс Чурки Чухан Чухна Чухонец Шагилайон Шалыга Шальной Шапокляк Шарманка Шарок Шаромыжник Шаршавый Швабра Шерстяной Шестипалый Шеф Шило Шкаф Шмакодявка Шнурок Шнырь Шоколадный Шота Руставели Шошка Шпана Шугай Шумный Шурави Шуруп Щегол Щукарь Эвандр из Фокиды Экономистка Эллины Эразм Роттердамский Яйцо Янки Японец Ястреб Яхудий	13	2
46	Твердые пастели реже ломаются так как содержат большее количество связующего вещества И прекрасно подходят для рисунка ведь сторону палочки можно использовать для тона а кончик для тонких линий и проработки деталейhttps://ruwikipediaorg/wiki/Пастель	23	2
47	Total Profit	12	2
48	классификаторы гостовские	13	2
49	фвыафыв	12	2
